Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2001,2001,14,Muut uusiutuvat (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,30.8
2001,2001,14,Muut uusiutuvat (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0.2
2001,2001,14,Muut uusiutuvat (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0.2
2001,2001,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",7801
2001,2001,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,vv_muutos,Vuosimuutos %,-4.4
2001,2001,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,9.6
2001,2001,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",11
2001,2001,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,arvogwh,"Määrä, GWh",20891
2001,2001,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,vv_muutos,Vuosimuutos %,-7.9
2001,2001,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,25.7
2001,2001,16,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",29.3
2001,2001,17,Muut energialähteet,arvogwh,"Määrä, GWh",244
2001,2001,17,Muut energialähteet,vv_muutos,Vuosimuutos %,1.2
2001,2001,17,Muut energialähteet,osuuskk,Osuus kokonaiskulutuksesta %,0.3
2001,2001,17,Muut energialähteet,osuuskt,"Osuus kokonaistuotannosta, %",0.3
2001,2001,18,SÄHKÖN TUOTANTO YHTEENSÄ,arvogwh,"Määrä, GWh",71238
2001,2001,18,SÄHKÖN TUOTANTO YHTEENSÄ,vv_muutos,Vuosimuutos %,5.9
2001,2001,18,SÄHKÖN TUOTANTO YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,87.7
2001,2001,18,SÄHKÖN TUOTANTO YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",100
2001,2001,19,Sähkön nettotuonti,arvogwh,"Määrä, GWh",9959
2001,2001,19,Sähkön nettotuonti,vv_muutos,Vuosimuutos %,-16.2
2001,2001,19,Sähkön nettotuonti,osuuskk,Osuus kokonaiskulutuksesta %,12.3
2001,2001,19,Sähkön nettotuonti,osuuskt,"Osuus kokonaistuotannosta, %",
2001,2001,20,SÄHKÖN KOKONAISKULUTUS,arvogwh,"Määrä, GWh",81197
2001,2001,20,SÄHKÖN KOKONAISKULUTUS,vv_muutos,Vuosimuutos %,2.6
2001,2001,20,SÄHKÖN KOKONAISKULUTUS,osuuskk,Osuus kokonaiskulutuksesta %,100
2001,2001,20,SÄHKÖN KOKONAISKULUTUS,osuuskt,"Osuus kokonaistuotannosta, %",
2002,2002,01,YDINVOIMA,arvogwh,"Määrä, GWh",21395
2002,2002,01,YDINVOIMA,vv_muutos,Vuosimuutos %,-2.1
2002,2002,01,YDINVOIMA,osuuskk,Osuus kokonaiskulutuksesta %,25.6
2002,2002,01,YDINVOIMA,osuuskt,"Osuus kokonaistuotannosta, %",29.9
2002,2002,02,Öljy (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",836
2002,2002,02,Öljy (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,37
2002,2002,02,Öljy (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,1
2002,2002,02,Öljy (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",1.2
2002,2002,03,Kivihiili (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",11837
2002,2002,03,Kivihiili (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,19
2002,2002,03,Kivihiili (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,14.2
2002,2002,03,Kivihiili (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",16.5
2002,2002,04,Maakaasu (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",11274
2002,2002,04,Maakaasu (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,0.8
2002,2002,04,Maakaasu (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,13.5
2002,2002,04,Maakaasu (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",15.7
2002,2002,05,Muut fossiiliset (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",715
2002,2002,05,Muut fossiiliset (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,-0.3
2002,2002,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,0.9
2002,2002,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",1
2002,2002,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",24662
2002,2002,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,vv_muutos,Vuosimuutos %,9.8
2002,2002,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,29.5
2002,2002,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",34.4
2002,2002,07,Turve,arvogwh,"Määrä, GWh",6142
2002,2002,07,Turve,vv_muutos,Vuosimuutos %,6
2002,2002,07,Turve,osuuskk,Osuus kokonaiskulutuksesta %,7.4
2002,2002,07,Turve,osuuskt,"Osuus kokonaistuotannosta, %",8.6
2002,2002,08,FOSSIILISET JA TURVE YHTEENSÄ,arvogwh,"Määrä, GWh",30804
2002,2002,08,FOSSIILISET JA TURVE YHTEENSÄ,vv_muutos,Vuosimuutos %,9
2002,2002,08,FOSSIILISET JA TURVE YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,36.9
2002,2002,08,FOSSIILISET JA TURVE YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",43
2002,2002,09,Vesivoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",10623
2002,2002,09,Vesivoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-18.4
2002,2002,09,Vesivoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,12.7
2002,2002,09,Vesivoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",14.8
2002,2002,10,Tuulivoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",63
2002,2002,10,Tuulivoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-10
2002,2002,10,Tuulivoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0.1
2002,2002,10,Tuulivoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0.1
2002,2002,11,Aurinkovoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",2
2002,2002,11,Aurinkovoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,0
2002,2002,11,Aurinkovoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0
2002,2002,11,Aurinkovoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0
2002,2002,12,Mustalipeä (Uusiutuva energialähde),arvogwh,"Määrä, GWh",5140
2002,2002,12,Mustalipeä (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,7.9
2002,2002,12,Mustalipeä (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,6.2
2002,2002,12,Mustalipeä (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",7.2
2002,2002,13,Muut puupolttoaineet (Uusiutuva energialähde),arvogwh,"Määrä, GWh",3174
2002,2002,13,Muut puupolttoaineet (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,10.9
2002,2002,13,Muut puupolttoaineet (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,3.8
2002,2002,13,Muut puupolttoaineet (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",4.4
2002,2002,14,Muut uusiutuvat (Uusiutuva energialähde),arvogwh,"Määrä, GWh",172
2002,2002,14,Muut uusiutuvat (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-1.1
2002,2002,14,Muut uusiutuvat (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0.2
2002,2002,14,Muut uusiutuvat (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0.2
2002,2002,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",8486
2002,2002,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,vv_muutos,Vuosimuutos %,8.8
2002,2002,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,10.2
2002,2002,15,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",11.8
